unifrac_binary	F1701173	F1701181	F1701186	F1701170	F1701176	F1701175	F1701179	F1701178	F1701177	F1701183	F1701184	F1701172	F1701182
F1701173	0	0.375	0.340	0.355	0.350	0.263	0.345	0.331	0.287	0.272	0.297	0.150	0.316
F1701181	0.375	0	0.243	0.236	0.132	0.437	0.103	0.199	0.183	0.250	0.258	0.364	0.235
F1701186	0.340	0.243	0	0.178	0.269	0.332	0.269	0.310	0.266	0.188	0.194	0.313	0.212
F1701170	0.355	0.236	0.178	0	0.246	0.373	0.258	0.283	0.254	0.224	0.243	0.343	0.238
F1701176	0.350	0.132	0.269	0.246	0	0.432	0.117	0.126	0.170	0.220	0.214	0.347	0.230
F1701175	0.263	0.437	0.332	0.373	0.432	0	0.447	0.471	0.437	0.379	0.366	0.263	0.424
F1701179	0.345	0.103	0.269	0.258	0.117	0.447	0	0.141	0.132	0.190	0.234	0.338	0.209
F1701178	0.331	0.199	0.310	0.283	0.126	0.471	0.141	0	0.112	0.215	0.256	0.357	0.241
F1701177	0.287	0.183	0.266	0.254	0.170	0.437	0.132	0.112	0	0.177	0.231	0.306	0.221
F1701183	0.272	0.250	0.188	0.224	0.220	0.379	0.190	0.215	0.177	0	0.161	0.256	0.153
F1701184	0.297	0.258	0.194	0.243	0.214	0.366	0.234	0.256	0.231	0.161	0	0.295	0.169
F1701172	0.150	0.364	0.313	0.343	0.347	0.263	0.338	0.357	0.306	0.256	0.295	0	0.315
F1701182	0.316	0.235	0.212	0.238	0.230	0.424	0.209	0.241	0.221	0.153	0.169	0.315	0
