"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"OTU4",0,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"OTU6",-0.375375563439144,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"OTU184",-0.187687781719572,0,-1.00100150250438,0,0,"Rejected"
"OTU2",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"OTU66",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
"OTU95",7.31000706951084,8.69896481319732,1.59878625816365,10.5558217144967,0.841269841269841,"Confirmed"
"OTU1",0.689247690877238,1.00100150250438,-1.00100150250438,1.07026883177989,0,"Rejected"
"OTU28",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
"OTU5",0.0625625939065239,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"OTU25",-0.150584403831559,0,-1.40834895880057,1.00100150250438,0,"Rejected"
"OTU30",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
"OTU7",-0.31281296953262,0,-1.00100150250438,0,0,"Rejected"
"OTU42",0,0,0,0,0,"Rejected"
"OTU18",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
"OTU51",-0.101861832665634,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"OTU53",0.022108366081429,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"OTU135",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"OTU52",-0.187687781719572,0,-1.00100150250438,0,0,"Rejected"
"OTU12",-0.285079062114761,0,-1.00100150250438,0,0,"Rejected"
"OTU150",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"OTU88",0,0,0,0,0,"Rejected"
"OTU10",-0.0557834373444387,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"OTU93",0,0,0,0,0,"Rejected"
"OTU79",0,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"OTU38",0.163411310879732,0,-1.38942503594182,1.00100150250438,0,"Rejected"
"OTU101",7.46532482042994,8.62597224905526,1.71058924980998,10.7298169868786,0.888888888888889,"Confirmed"
"OTU231",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"OTU142",-0.197448879916079,0,-1.00100150250438,0,0,"Rejected"
"OTU61",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
