#OTU ID	F1701173	F1701181	F1701186	F1701170	F1701176	F1701175	F1701179	F1701178	F1701177	F1701183	F1701184	F1701172	F1701182
OTU4	5534	631	746	1583	795	11528	712	353	367	807	240	11912	47
OTU6	3224	58	4926	92	325	2210	340	508	497	856	615	40	1929
OTU184	160	20	14	104	16	29	24	58	72	37	18	39	64
OTU2	5546	3783	134	0	6527	6579	489	6625	2991	120	29	8491	22
OTU66	110	65	3	59	16	11	16	66	122	18	12	5	152
OTU95	183	0	0	0	10	0	7	23	49	5	2	23	5
OTU1	3917	1287	805	855	2554	1791	1860	1335	807	4435	6681	2971	7583
OTU28	832	0	1	3	0	533	0	0	2	1	0	287	0
OTU5	1157	1	268	137	1	288	0	3	10	9026	4949	731	4301
OTU25	1158	37	14	1456	42	324	64	80	167	192	164	323	260
OTU30	509	3	40	110	5	240	1	11	10	139	64	86	445
OTU7	592	2446	3429	1381	1284	10	2385	3817	4377	265	289	421	172
OTU42	279	0	0	0	0	344	0	0	4	0	0	612	0
OTU18	1165	0	0	0	0	1318	1	0	4	1	0	1186	0
OTU51	404	65	10	11	11	149	10	25	15	17	12	242	0
OTU53	891	12	9	20	13	101	63	17	37	17	12	142	39
OTU135	47	0	0	0	0	0	0	1	2	0	0	7	0
OTU52	182	330	0	184	139	2	358	376	649	4	2	13	21
OTU12	1740	684	401	548	598	3132	293	653	524	386	465	1380	4
OTU150	29	0	0	0	1	0	0	4	6	0	0	5	0
OTU88	202	0	0	0	0	18	0	0	2	0	0	37	0
OTU10	288	246	517	0	133	31	338	111	237	1341	967	167	2706
OTU93	192	0	0	0	0	0	0	0	0	0	0	3	0
OTU79	22	3	28	27	4	0	8	1	1	177	52	17	86
OTU38	219	28	40	1127	28	14	54	63	94	104	107	49	446
OTU101	115	0	0	0	1	0	4	10	17	11	1	6	14
OTU231	6	0	0	0	0	0	0	0	0	0	0	2	1
OTU142	35	0	27	15	0	10	3	0	1	5	2	36	12
OTU61	32	151	8	175	166	13	217	30	19	21	6	87	3
OTU43	220	9	109	947	1	476	10	2	15	11	8	121	27
OTU65	25	17	14	183	13	1	30	11	20	67	60	9	93
OTU59	190	0	309	226	0	129	0	0	1	214	151	18	6
OTU89	19	5	10	18	5	19	2	7	16	47	50	0	172
OTU217	45	1825	139	1198	2923	87	1382	3035	2424	87	4	88	3
OTU29	94	72	132	108	72	10	105	27	35	390	154	177	251
OTU119	66	2	1	51	0	4	2	2	5	0	2	3	8
OTU236	5	1	0	0	0	1	0	1	1	0	0	1	0
OTU125	34	1	15	18	0	6	0	0	0	0	0	10	1
OTU131	68	0	0	0	0	0	0	0	0	1	2	2	6
