#OTU ID	F1701173	F1701181	F1701186	F1701170	F1701176	F1701175	F1701179	F1701178	F1701177	F1701183	F1701184	F1701172	F1701182
Cloacibacillus	0	0	1	0	0	0	0	0	0	2	2	1	5
Holdemania	0	5	4	7	4	0	7	2	3	1	0	0	9
Solobacterium	26	6	1	2	9	2	5	0	8	2	4	4	4
unclassfied(f)	4953	3591	7911	3012	1953	4236	3594	4006	4575	1841	1476	1971	5030
Ruminococcus	1	11	0	0	0	0	2	1	6	0	0	1	1
Capnocytophaga	12	0	0	0	0	0	0	0	0	0	0	2	1
Holdemanella	0	740	0	0	115	0	456	130	190	0	0	0	0
Eubacterium	8	0	0	15	0	0	0	0	3	2	6	5	15
Haemophilus	114	69	3	62	17	12	17	69	129	19	12	5	150
Lachnospiracea_incertae_sedis	4062	1374	976	955	2679	1871	1979	1405	881	4637	6597	3070	7535
Romboutsia	24	3	17	52	0	151	1	0	3	1	0	3	2
Paraeggerthella	0	1	3	0	1	0	3	1	2	2	0	0	2
Clostridium_XlVb	0	82	248	414	89	0	102	317	324	13	9	0	7
Flavonifractor	97	76	138	113	75	10	110	28	37	408	152	183	248
Clostridium_XlVa	1743	843	362	376	45	552	230	89	315	9641	4961	848	4897
Oscillibacter	0	49	17	0	40	0	145	45	50	25	23	0	50
Turicibacter	0	0	4	0	0	52	0	0	0	0	0	0	0
Gemella	46	22	28	5	26	5	49	36	98	14	24	1	43
Terrisporobacter	0	0	0	11	0	31	0	0	0	0	0	0	0
Clostridium_XVIII	40	421	285	38	134	31	257	40	117	117	105	3	477
Anaerococcus	0	0	0	0	17	0	0	6	0	0	0	0	0
Tannerella	0	0	0	0	1	0	0	1	4	0	0	0	0
Eggerthella	23	3	29	28	4	0	8	1	1	185	51	18	85
Gordonibacter	0	0	0	3	0	0	1	1	1	0	0	0	0
Slackia	0	117	0	0	127	0	235	204	268	0	0	0	0
Alistipes	44	347	59	183	242	29	291	121	86	129	62	150	10
Veillonella	1201	39	15	1525	44	338	67	84	176	236	184	334	265
Lactobacillus	1	21	0	15	3	0	5	4	14	0	2	0	2
Akkermansia	0	0	0	204	0	2	2	0	2	0	0	0	0
Parvimonas	7	83	56	12	82	1	383	65	156	2	0	1	10
Eikenella	3	2	6	1	3	0	7	10	14	6	4	0	6
Mogibacterium	0	2	1	8	2	0	10	0	1	4	4	0	7
Intestinibacter	5	0	12	37	0	6	0	3	4	0	0	0	0
Pyramidobacter	0	1	0	0	0	0	3	2	8	0	0	0	0
Barnesiella	0	0	0	27	0	0	0	0	0	0	0	0	0
Morganella	0	9	0	1	14	0	27	27	41	0	0	1	0
Oribacterium	8	0	1	1	0	0	0	1	2	2	0	0	6
Finegoldia	0	0	0	0	7	0	0	3	0	1	0	0	0
Fusobacterium	5957	4351	143	193	7014	6929	891	7336	3847	129	31	8836	43
Staphylococcus	1	0	0	0	1	0	0	0	37	0	1	1	1
Bifidobacterium	228	9	114	992	1	497	10	2	16	12	8	125	27
